,Deputado,Matricula
0,Adalberto Freitas,300605
1,Adriana Borgo,300606
2,Afonso Lobato,300404
3,Agente Federal Danilo Balas,300607
4,Alex de Madureira,300608
5,Alexandre Pereira,300553
6,Altair Moraes,300609
7,André do Prado,300497
8,Arthur do Val,300611
9,Ataide Teruel,300612
10,Barros Munhoz,300188
11,Bruno Ganem,300613
12,Caio França,300540
13,Campos Machado,300217
14,Carla Morando,300614
15,Carlos Cezar,300501
16,Carlos Giannazi,300485
17,Carlão Pignatari,300499
18,Castello Branco,300615
19,Cezar,300616
20,Conte Lopes,300205
21,Coronel Nishikawa,300617
22,Coronel Telhada,300548
23,Daniel José,300618
24,Daniel Soares,300619
25,Delegada Graciela,300620
26,Delegado Bruno Lima,300621
27,Delegado Olim,300543
28,Dirceu Dalben,300650
29,Douglas Garcia,300622
30,Dr. Jorge do Carmo,300623
31,Dra. Damaris Moura,300624
32,Edmir Chedid,300292
33,Edna Macedo,300318
34,Edson Giriboni,300449
35,Emidio de Souza,300395
36,Enio Tatto,300440
37,Erica Malunguinho,300625
38,Estevam Galvão,300303
39,Frederico d'Avila,300626
40,Gil Diniz,300627
41,Gilmaci Santos,300450
42,Heni Ozi Cukier,300628
43,Isa Penna,300629
44,Janaina Paschoal,300630
45,Jorge Caruso,300367
46,Jorge Wilson Xerife do Consumidor,300549
47,José Américo,300544
48,Leci Brandão,300513
49,Leticia Aguiar,300631
50,Luiz Fernando T. Ferreira,300545
51,Léo Oliveira,300264
52,Major Mecca,300633
53,Marcio Nakashima,300635
54,Marcio da Farmácia,300634
55,Marcos Damasio,300552
56,Marcos Zerbini,300471
57,Maria Lúcia Amary,300415
58,Marina Helou,300636
59,Marta Costa,300533
60,Maurici,300653
61,Mauro Bragato,300098
62,Milton Leite Filho,300483
63,Murilo Felix,300654
64,Márcia Lia,300534
65,Patricia Bezerra,300655
66,Paulo Correa Jr.,300536
67,Paulo Fiorilo,300638
68,Professor Kenny,300639
69,Professor Walter Vicioni,300656
70,Professora Bebel,300640
71,Rafa Zimbaldi,300641
72,Rafael Silva,300344
73,Raul Marcelo,300474
74,Reinaldo Alguz,300470
75,Ricardo Madalena,300539
76,Ricardo Mellão,300642
77,Roberto Engler,300267
78,Roberto Morais,300382
79,Rodrigo Gambale,300643
80,Rodrigo Moraes,300519
81,Rogério Nogueira,300407
82,Roque Barbiere,300260
83,Sargento Neri,300644
84,Sebastião Santos,300520
85,Sergio Victor,300645
86,Tenente Coimbra,300646
87,Tenente Nascimento,300647
88,Teonilio Barba,300584
89,Thiago Auricchio,300648
90,Valeria Bolsonaro,300649
91,Vinícius Camarinha,300430
92,Wellington Moura,300589
